Source;Target;Weight;Type
101;356;1;undirected
61;82;2;undirected
27;46;10;undirected
88;284;1;undirected
73;78;3;undirected
9;264;1;undirected
85;102;3;undirected
2;84;9;undirected
15;74;6;undirected
100;112;1;undirected
14;108;3;undirected
26;94;4;undirected
101;280;2;undirected
54;92;3;undirected
65;256;1;undirected
41;264;1;undirected
73;276;1;undirected
0;271;2;undirected
74;266;1;undirected
238;280;1;undirected
26;98;4;undirected
0;17;1;undirected
83;111;12;undirected
43;54;4;undirected
13;20;2;undirected
83;85;13;undirected
95;101;2;undirected
82;274;4;undirected
112;195;2;undirected
20;32;1;undirected
53;62;1;undirected
18;112;2;undirected
1;40;1;undirected
102;226;1;undirected
12;254;1;undirected
33;284;2;undirected
28;32;4;undirected
43;120;1;undirected
15;83;63;undirected
119;230;2;undirected
85;276;1;undirected
54;87;1;undirected
273;289;3;undirected
46;293;2;undirected
109;110;1;undirected
49;254;3;undirected
40;73;1;undirected
40;264;1;undirected
49;89;8;undirected
13;51;1;undirected
15;238;2;undirected
49;51;2;undirected
78;101;10;undirected
34;114;1;undirected
41;85;2;undirected
60;215;2;undirected
40;117;2;undirected
109;144;1;undirected
66;119;2;undirected
87;96;1;undirected
43;91;1;undirected
32;68;1;undirected
75;102;1;undirected
118;120;5;undirected
21;46;10;undirected
2;38;2;undirected
15;88;1;undirected
100;102;1;undirected
0;366;1;undirected
23;40;1;undirected
6;32;1;undirected
9;284;1;undirected
49;120;2;undirected
106;123;1;undirected
27;72;1;undirected
1;253;1;undirected
78;297;1;undirected
4;94;2;undirected
29;114;1;undirected
83;125;1;undirected
14;19;1;undirected
79;195;2;undirected
66;84;1;undirected
61;288;2;undirected
21;99;1;undirected
22;83;1;undirected
20;71;2;undirected
17;195;5;undirected
32;101;2;undirected
43;119;2;undirected
114;276;1;undirected
35;79;2;undirected
15;343;7;undirected
73;271;2;undirected
92;253;1;undirected
72;140;1;undirected
43;118;1;undirected
100;109;3;undirected
13;113;4;undirected
101;287;1;undirected
60;83;1;undirected
16;20;16;undirected
72;113;3;undirected
83;266;1;undirected
102;111;2;undirected
20;276;4;undirected
61;78;1;undirected
74;85;1;undirected
71;85;3;undirected
0;266;1;undirected
51;87;1;undirected
20;78;7;undirected
14;60;1;undirected
0;288;2;undirected
68;73;2;undirected
43;254;3;undirected
67;109;6;undirected
93;95;1;undirected
32;82;1;undirected
71;83;3;undirected
73;304;1;undirected
87;256;2;undirected
19;32;1;undirected
43;111;1;undirected
0;40;4;undirected
36;225;6;undirected
18;119;1;undirected
68;297;1;undirected
23;266;1;undirected
40;266;56;undirected
102;195;2;undirected
38;84;2;undirected
15;114;2;undirected
0;100;1;undirected
20;111;8;undirected
56;75;3;undirected
43;49;21;undirected
67;76;3;undirected
20;85;12;undirected
0;19;3;undirected
6;96;1;undirected
88;100;1;undirected
114;271;3;undirected
67;82;1;undirected
3;233;2;undirected
228;288;1;undirected
0;9;1;undirected
51;62;1;undirected
280;297;1;undirected
65;91;2;undirected
93;114;1;undirected
32;79;2;undirected
11;127;4;undirected
71;102;14;undirected
60;73;10;undirected
104;223;1;undirected
83;280;2;undirected
46;140;4;undirected
8;40;1;undirected
22;40;5;undirected
100;226;2;undirected
38;79;1;undirected
36;43;2;undirected
10;34;1;undirected
20;282;2;undirected
103;270;1;undirected
78;95;3;undirected
0;280;3;undirected
2;97;2;undirected
140;293;1;undirected
101;238;2;undirected
22;266;5;undirected
78;343;8;undirected
94;98;4;undirected
41;68;1;undirected
41;271;1;undirected
18;79;2;undirected
111;238;2;undirected
284;304;1;undirected
92;111;1;undirected
20;41;3;undirected
238;343;1;undirected
34;68;9;undirected
124;126;1;undirected
6;38;1;undirected
36;82;1;undirected
32;98;1;undirected
50;253;1;undirected
24;120;3;undirected
12;43;5;undirected
75;207;1;undirected
20;271;4;undirected
0;104;2;undirected
264;366;3;undirected
5;68;1;undirected
40;88;3;undirected
36;67;21;undirected
15;20;50;undirected
56;91;1;undirected
78;114;2;undirected
15;288;4;undirected
83;101;12;undirected
23;111;1;undirected
61;280;3;undirected
27;293;2;undirected
56;65;2;undirected
34;101;2;undirected
0;61;1;undirected
79;84;1;undirected
11;109;1;undirected
91;256;1;undirected
106;293;1;undirected
11;228;1;undirected
39;111;2;undirected
106;270;1;undirected
26;32;1;undirected
0;83;2;undirected
8;266;1;undirected
24;89;1;undirected
15;73;1;undirected
34;261;1;undirected
40;261;2;undirected
0;56;1;undirected
65;87;1;undirected
78;83;20;undirected
74;83;6;undirected
41;343;2;undirected
15;29;1;undirected
54;200;1;undirected
15;297;1;undirected
42;93;1;undirected
12;120;1;undirected
215;271;1;undirected
18;65;2;undirected
35;207;1;undirected
1;107;1;undirected
2;28;1;undirected
32;84;12;undirected
24;49;1;undirected
111;276;2;undirected
18;91;1;undirected
71;226;1;undirected
31;40;1;undirected
55;265;1;undirected
49;66;1;undirected
60;271;13;undirected
28;84;1;undirected
15;264;1;undirected
111;280;5;undirected
43;51;2;undirected
35;238;1;undirected
18;195;5;undirected
88;102;1;undirected
93;223;19;undirected
111;288;3;undirected
56;79;2;undirected
0;11;1;undirected
29;237;2;undirected
68;88;1;undirected
83;224;1;undirected
17;112;2;undirected
102;276;1;undirected
72;260;7;undirected
87;254;1;undirected
68;102;4;undirected
83;282;2;undirected
107;233;1;undirected
15;95;2;undirected
3;50;2;undirected
95;125;1;undirected
82;114;1;undirected
31;264;1;undirected
29;271;1;undirected
35;56;6;undirected
60;85;4;undirected
261;266;2;undirected
103;230;1;undirected
56;112;2;undirected
40;83;1;undirected
3;105;1;undirected
117;266;2;undirected
20;68;7;undirected
72;293;2;undirected
0;2;1;undirected
68;71;4;undirected
35;195;5;undirected
32;88;1;undirected
271;288;4;undirected
32;300;1;undirected
73;266;1;undirected
38;98;1;undirected
102;271;1;undirected
2;34;1;undirected
75;112;2;undirected
82;109;1;undirected
36;92;1;undirected
1;86;2;undirected
34;60;1;undirected
51;66;4;undirected
38;94;1;undirected
1;72;2;undirected
50;302;1;undirected
250;260;2;undirected
56;119;1;undirected
29;78;1;undirected
26;112;2;undirected
262;366;1;undirected
20;238;2;undirected
15;22;1;undirected
65;92;1;undirected
18;207;1;undirected
33;109;1;undirected
89;120;1;undirected
6;106;1;undirected
68;78;3;undirected
83;238;4;undirected
15;60;1;undirected
20;101;5;undirected
101;276;1;undirected
34;99;2;undirected
85;101;1;undirected
92;96;1;undirected
117;273;2;undirected
12;119;2;undirected
68;84;1;undirected
38;101;2;undirected
123;125;2;undirected
86;99;2;undirected
19;31;1;undirected
49;91;1;undirected
0;85;3;undirected
61;83;1;undirected
68;114;1;undirected
0;75;1;undirected
60;276;1;undirected
266;289;3;undirected
75;79;1;undirected
73;83;1;undirected
101;125;1;undirected
101;297;1;undirected
51;230;2;undirected
46;126;4;undirected
17;65;2;undirected
20;74;6;undirected
16;83;16;undirected
17;91;1;undirected
33;88;2;undirected
11;100;1;undirected
68;83;10;undirected
41;101;3;undirected
39;102;1;undirected
34;84;1;undirected
32;272;5;undirected
60;78;1;undirected
79;272;1;undirected
32;34;1;undirected
228;280;1;undirected
85;343;1;undirected
68;307;1;undirected
54;86;1;undirected
34;40;1;undirected
109;111;2;undirected
15;266;1;undirected
67;144;3;undirected
40;72;1;undirected
3;92;1;undirected
79;112;4;undirected
5;94;1;undirected
106;267;1;undirected
16;74;6;undirected
89;109;1;undirected
43;66;1;undirected
27;140;4;undirected
14;45;3;undirected
103;119;4;undirected
60;111;2;undirected
15;40;1;undirected
16;276;1;undirected
34;111;1;undirected
0;35;1;undirected
1;34;1;undirected
72;99;1;undirected
93;104;1;undirected
49;103;1;undirected
84;287;1;undirected
17;119;1;undirected
12;89;2;undirected
23;41;2;undirected
101;111;2;undirected
15;71;2;undirected
101;347;1;undirected
34;271;2;undirected
20;114;1;undirected
261;264;1;undirected
0;284;1;undirected
17;51;1;undirected
20;88;1;undirected
40;289;3;undirected
18;56;14;undirected
33;112;1;undirected
56;207;1;undirected
32;66;1;undirected
78;347;1;undirected
271;276;1;undirected
30;81;2;undirected
101;271;13;undirected
78;111;3;undirected
35;102;2;undirected
7;81;1;undirected
95;276;4;undirected
18;75;3;undirected
60;102;1;undirected
288;343;1;undirected
17;111;1;undirected
2;6;1;undirected
99;140;1;undirected
8;289;1;undirected
68;111;5;undirected
